# histogram parameters 
# dx = 5.0
# dy = 0.04
# nx = 38
# ny = 40
# xmin = 0.0
# ymin = -0.02

# Averaged Kinematics Numerical File
#
# NOTE: averaged quantities are determined from SIMC @ the vertex
# calculated quantities are calculated external to SIMC assuming
# (using averged quantities as input, if needed)
#
# id_bin     : 2d bin number
# id_xbin    : xbin number
# id_ybin    : ybin number
# thnq_b     : central theta_nq value (e.g., 5, 15, 25, 35, . . . deg)
# pm_b       : central missing momentum value (80, 120, 160, . . . MeV)
# Ei         : average beam energy [MeV]
# kf         : average final e- momentum [MeV]
# the        : average final e- angle [deg]
# nu         : average energy transfer [MeV]
# nu_calc    : calculated energy transfer [MeV]
# Q2_calc    : calculated 4-momentum transfer [MeV^2]
# q_calc     : calculated 3-momentum transfer [MeV]
# Ep_calc    : calculated final proton energy [MeV]
# Pf         : average final proton momentum [MeV]
# Pm         : average missing momentum [MeV]
# Pm_calc    : calculated missing momentum [MeV]
# En_calc    : calculated recoil neutron energy [MeV]
# Pf_Par_q   : calculated Pf component (q-frame) parallel to q
# Pf_Perp_q  : calculated Pf component (q-frame) perpendicular to q
# thpq       : avergaed angle between proton and q [deg]
# thpq_calc  : calculated angle between proton and q [deg]
# thpq_cm    : calculated angle between proton and q in c.m. [deg]
# thnq       : averaged angle between recoil neutron and q [deg]
# thnq_calc  : calculated angle between recoil neutron and q [deg]
# cphi_pq    : averaged cos(angle) betweeen proton and q [deg]
# sphi_pq    : averaged sin(angle) betweeen proton and q [deg] 
# alpha_calc : calculated spectatror (neutron) light-cone momentum fraction 
# contz      : bin content for the specified (Pm, thnq) bin
# 
pms,xsec_fsi,xsec_pwia,id_bin,id_xbin,id_ybin,thnq_b,pm_b,Ei,kf,the,nu,nu_calc,Q2_calc,q_calc,Ep_calc,Pf,Pm,Pm_calc,En_calc,Pf_Par_q,Pf_Perp_q,thpq,thpq_calc,thpq_cm,thnq,thnq_calc,cphi_pq,sphi_pq,alpha_calc,contz
0.71893,0.1247363E-01,0.3484712E-02,771,11,19,52.500,0.720,10545.349,8259.212,13.696,2286.138,2286.138,4953234.620,3190.558,2978.682,2827.046,718.881,718.934,1183.068,2766.755,580.739,11.851,11.854,37.658,53.869,53.879,-0.537,0.290,0.808,4.784E-03
0.75764,0.1227066E-01,0.2436808E-02,811,11,20,52.500,0.760,10539.229,8223.776,13.731,2315.454,2315.454,4954229.102,3211.784,2984.084,2832.737,757.548,757.643,1206.982,2765.743,612.429,12.484,12.486,39.404,53.938,53.934,-0.581,-0.161,0.810,1.881E-03
0.79405,0.1563289E-01,0.1772208E-02,851,11,21,52.500,0.800,10545.783,8195.621,13.693,2350.163,2350.162,4913124.937,3230.540,2995.613,2844.881,794.010,794.049,1230.162,2770.314,647.075,13.147,13.147,40.979,54.576,54.578,-0.561,0.395,0.819,1.270E-03
0.82751,0.1257968E-01,0.1253453E-02,891,11,22,52.500,0.840,10546.597,8175.203,13.778,2371.394,2371.394,4961833.963,3253.513,2994.988,2844.222,827.498,827.506,1252.019,2764.732,667.727,13.577,13.578,42.379,53.790,53.796,-0.582,0.813,0.812,4.551E-04
0.94843,0.2292045E-01,0.3687207E-03,1011,11,25,52.500,0.960,10547.884,8007.382,13.936,2540.502,2540.502,4972502.355,3380.333,3081.082,2934.742,948.435,948.434,1335.032,2831.058,773.191,15.276,15.276,46.471,54.610,54.610,-0.649,-0.761,0.836,7.365E-05
0.17346,0.5007239E+01,0.6441921E+01,212,12,5,57.500,0.160,10546.259,8511.153,12.404,2035.105,2035.106,4190666.787,2886.576,2955.275,2802.373,173.461,173.458,955.443,2798.390,149.368,3.055,3.055,9.275,59.443,59.443,-0.998,-0.069,0.923,3.800E-01
0.20459,0.1925229E+01,0.2556439E+01,252,12,6,57.500,0.200,10547.351,8508.521,12.529,2038.830,2038.830,4274302.997,2903.641,2952.860,2799.826,204.274,204.591,961.583,2794.474,173.032,3.534,3.543,10.873,57.697,57.752,-0.921,0.013,0.907,4.888E+00
0.24016,0.7071875E+00,0.9509177E+00,292,12,7,57.500,0.240,10546.089,8474.329,12.735,2071.763,2071.760,4397010.561,2947.745,2977.599,2825.906,239.791,240.160,969.774,2818.640,202.506,4.100,4.109,12.753,57.409,57.481,-0.933,0.028,0.895,6.671E+00
0.28014,0.2906560E+00,0.3676306E+00,332,12,8,57.500,0.280,10545.856,8441.271,12.923,2104.591,2104.586,4509164.051,2989.723,2999.757,2849.243,279.763,280.144,980.441,2839.419,236.409,4.750,4.759,14.909,57.502,57.553,-0.910,0.034,0.884,7.720E+00
0.32002,0.1538571E+00,0.1675910E+00,372,12,9,57.500,0.320,10544.710,8410.819,13.083,2133.893,2133.891,4604390.322,3026.199,3016.934,2867.322,319.597,320.016,992.570,2854.572,270.100,5.396,5.405,17.056,57.521,57.567,-0.886,0.020,0.874,7.281E+00
